PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"23882207","Auditory habituation to simple tones: reduced evidence for habituation in children compared to adults","Muenssinger J, Stingl KT, Matuz T, Binder G, Ehehalt S, Preissl H.","Front Hum Neurosci. 2013 Jul 19;7:377. doi: 10.3389/fnhum.2013.00377. eCollection 2013.","Muenssinger J","Front Hum Neurosci","2013","2013/07/25","PMC3715733","","10.3389/fnhum.2013.00377"
"23734202","Listening to an audio drama activates two processing networks, one for all sounds, another exclusively for speech","Boldt R, Malinen S, Seppä M, Tikka P, Savolainen P, Hari R, Carlson S.","PLoS One. 2013 May 29;8(5):e64489. doi: 10.1371/journal.pone.0064489. Print 2013.","Boldt R","PLoS One","2013","2013/06/05","PMC3667190","","10.1371/journal.pone.0064489"
"23352740","Assessing hippocampal functional reserve in temporal lobe epilepsy: a multi-voxel pattern analysis of fMRI data","Bonnici HM, Sidhu M, Chadwick MJ, Duncan JS, Maguire EA.","Epilepsy Res. 2013 Jul;105(1-2):140-9. doi: 10.1016/j.eplepsyres.2013.01.004. Epub 2013 Jan 23.","Bonnici HM","Epilepsy Res","2013","2013/01/29","PMC3682189","","10.1016/j.eplepsyres.2013.01.004"
"23209583","Does an oblique/slanted perspective during virtual navigation engage both egocentric and allocentric brain strategies?","Barra J, Laou L, Poline JB, Lebihan D, Berthoz A.","PLoS One. 2012;7(11):e49537. doi: 10.1371/journal.pone.0049537. Epub 2012 Nov 28.","Barra J","PLoS One","2012","2012/12/05","PMC3509118","","10.1371/journal.pone.0049537"
"23154929","The episodic engram transformed: Time reduces retrieval-related brain activity but correlates it with memory accuracy","Furman O, Mendelsohn A, Dudai Y.","Learn Mem. 2012 Nov 15;19(12):575-87. doi: 10.1101/lm.025965.112.","Furman O","Learn Mem","2012","2012/11/17","","","10.1101/lm.025965.112"
"23138047","Cortex-based inter-subject analysis of iEEG and fMRI data sets: application to sustained task-related BOLD and gamma responses","Esposito F, Singer N, Podlipsky I, Fried I, Hendler T, Goebel R.","Neuroimage. 2013 Feb 1;66:457-68. doi: 10.1016/j.neuroimage.2012.10.080. Epub 2012 Nov 6.","Esposito F","Neuroimage","2013","2012/11/10","","","10.1016/j.neuroimage.2012.10.080"
"22623915","Correlated components of ongoing EEG point to emotionally laden attention - a possible marker of engagement?","Dmochowski JP, Sajda P, Dias J, Parra LC.","Front Hum Neurosci. 2012 May 16;6:112. doi: 10.3389/fnhum.2012.00112. eCollection 2012.","Dmochowski JP","Front Hum Neurosci","2012","2012/05/25","PMC3353265","","10.3389/fnhum.2012.00112"
"22623534","Emotions promote social interaction by synchronizing brain activity across individuals","Nummenmaa L, Glerean E, Viinikainen M, Jääskeläinen IP, Hari R, Sams M.","Proc Natl Acad Sci U S A. 2012 Jun 12;109(24):9599-604. doi: 10.1073/pnas.1206095109. Epub 2012 May 23.","Nummenmaa L","Proc Natl Acad Sci U S A","2012","2012/05/25","PMC3386135","","10.1073/pnas.1206095109"
"22593737","The effect of moderate acute psychological stress on working memory-related neural activity is modulated by a genetic variation in catecholaminergic function in humans","Qin S, Cousijn H, Rijpkema M, Luo J, Franke B, Hermans EJ, Fernández G.","Front Integr Neurosci. 2012 May 11;6:16. doi: 10.3389/fnint.2012.00016. eCollection 2012.","Qin S","Front Integr Neurosci","2012","2012/05/18","PMC3350069","","10.3389/fnint.2012.00016"
"22559794","Functional magnetic resonance imaging phase synchronization as a measure of dynamic functional connectivity","Glerean E, Salmi J, Lahnakoski JM, Jääskeläinen IP, Sams M.","Brain Connect. 2012;2(2):91-101. doi: 10.1089/brain.2011.0068. Epub 2012 Jun 11.","Glerean E","Brain Connect","2012","2012/05/08","PMC3624768","","10.1089/brain.2011.0068"
