PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"32376301","Towards clinical applications of movie fMRI","Eickhoff SB, Milham M, Vanderwal T.","Neuroimage. 2020 Aug 15;217:116860. doi: 10.1016/j.neuroimage.2020.116860. Epub 2020 May 4.","Eickhoff SB","Neuroimage","2020","2020/05/08","","","10.1016/j.neuroimage.2020.116860"
"29486325","Consistency and similarity of MEG- and fMRI-signal time courses during movie viewing","Lankinen K, Saari J, Hlushchuk Y, Tikka P, Parkkonen L, Hari R, Koskinen M.","Neuroimage. 2018 Jun;173:361-369. doi: 10.1016/j.neuroimage.2018.02.045. Epub 2018 Feb 24.","Lankinen K","Neuroimage","2018","2018/02/28","","","10.1016/j.neuroimage.2018.02.045"
"33147510","Characterizing Inscapes and resting-state in MEG: Effects in typical and atypical development","Vandewouw MM, Dunkley BT, Lerch JP, Anagnostou E, Taylor MJ.","Neuroimage. 2021 Jan 15;225:117524. doi: 10.1016/j.neuroimage.2020.117524. Epub 2020 Nov 2.","Vandewouw MM","Neuroimage","2021","2020/11/04","","","10.1016/j.neuroimage.2020.117524"
"29032323","Neural activity during traumatic film viewing is linked to endogenous estradiol and hormonal contraception","Miedl SF, Wegerer M, Kerschbaum H, Blechert J, Wilhelm FH.","Psychoneuroendocrinology. 2018 Jan;87:20-26. doi: 10.1016/j.psyneuen.2017.10.006. Epub 2017 Oct 5.","Miedl SF","Psychoneuroendocrinology","2018","2017/10/17","","","10.1016/j.psyneuen.2017.10.006"
"11352609","Spatiotemporal brain imaging of visual-evoked activity using interleaved EEG and fMRI recordings","Bonmassar G, Schwartz DP, Liu AK, Kwong KK, Dale AM, Belliveau JW.","Neuroimage. 2001 Jun;13(6 Pt 1):1035-43. doi: 10.1006/nimg.2001.0754.","Bonmassar G","Neuroimage","2001","2001/05/16","","","10.1006/nimg.2001.0754"
"32769969","Aging alters neural activity at event boundaries in the hippocampus and Posterior Medial network","Reagh ZM, Delarazan AI, Garber A, Ranganath C.","Nat Commun. 2020 Aug 7;11(1):3980. doi: 10.1038/s41467-020-17713-4.","Reagh ZM","Nat Commun","2020","2020/08/10","PMC7414222","","10.1038/s41467-020-17713-4"
"35840823","Classifying oscillatory brain activity associated with Indian Rasas using network metrics","Pandey P, Tripathi R, Miyapuram KP.","Brain Inform. 2022 Jul 15;9(1):15. doi: 10.1186/s40708-022-00163-7.","Pandey P","Brain Inform","2022","2022/07/15","PMC9287523","","10.1186/s40708-022-00163-7"
"34558148","Effects of social and emotional context on neural activation and synchrony during movie viewing","Dziura SL, Merchant JS, Alkire D, Rashid A, Shariq D, Moraczewski D, Redcay E.","Hum Brain Mapp. 2021 Dec 15;42(18):6053-6069. doi: 10.1002/hbm.25669. Epub 2021 Sep 23.","Dziura SL","Hum Brain Mapp","2021","2021/09/24","PMC8596971","","10.1002/hbm.25669"
"33229530","Aging and the encoding of changes in events: The role of neural activity pattern reinstatement","Stawarczyk D, Wahlheim CN, Etzel JA, Snyder AZ, Zacks JM.","Proc Natl Acad Sci U S A. 2020 Nov 24;117(47):29346-29353. doi: 10.1073/pnas.1918063117.","Stawarczyk D","Proc Natl Acad Sci U S A","2020","2020/11/24","PMC7703536","","10.1073/pnas.1918063117"
"33977054","MRI-Compatible and Conformal Electrocorticography Grids for Translational Research","Fallegger F, Schiavone G, Pirondini E, Wagner FB, Vachicouras N, Serex L, Zegarek G, May A, Constanthin P, Palma M, Khoshnevis M, Van Roost D, Yvert B, Courtine G, Schaller K, Bloch J, Lacour SP.","Adv Sci (Weinh). 2021 Mar 8;8(9):2003761. doi: 10.1002/advs.202003761. eCollection 2021 May.","Fallegger F","Adv Sci (Weinh)","2021","2021/05/12","PMC8097365","","10.1002/advs.202003761"
"35680054","Act natural: Functional connectivity from naturalistic stimuli fMRI outperforms resting-state in predicting brain activity","Gal S, Coldham Y, Tik N, Bernstein-Eliav M, Tavor I.","Neuroimage. 2022 Sep;258:119359. doi: 10.1016/j.neuroimage.2022.119359. Epub 2022 Jun 6.","Gal S","Neuroimage","2022","2022/06/09","","","10.1016/j.neuroimage.2022.119359"
"34611185","Exploring﻿ electroencephalography with a model inspired by quantum mechanics","Popiel NJM, Metrow C, Laforge G, Owen AM, Stojanoski B, Soddu A.","Sci Rep. 2021 Oct 5;11(1):19771. doi: 10.1038/s41598-021-97960-7.","Popiel NJM","Sci Rep","2021","2021/10/06","PMC8492705","","10.1038/s41598-021-97960-7"
"31585315","Transfer learning of deep neural network representations for fMRI decoding","Svanera M, Savardi M, Benini S, Signoroni A, Raz G, Hendler T, Muckli L, Goebel R, Valente G.","J Neurosci Methods. 2019 Dec 1;328:108319. doi: 10.1016/j.jneumeth.2019.108319. Epub 2019 Oct 1.","Svanera M","J Neurosci Methods","2019","2019/10/05","","","10.1016/j.jneumeth.2019.108319"
"35002602","Carbon-Based Fiber Materials as Implantable Depth Neural Electrodes","Fu X, Li G, Niu Y, Xu J, Wang P, Zhou Z, Ye Z, Liu X, Xu Z, Yang Z, Zhang Y, Lei T, Zhang B, Li Q, Cao A, Jiang T, Duan X.","Front Neurosci. 2021 Dec 22;15:771980. doi: 10.3389/fnins.2021.771980. eCollection 2021.","Fu X","Front Neurosci","2021","2022/01/10","PMC8730365","","10.3389/fnins.2021.771980"
"36704727","Neural correlates of emotion acceptance and suppression in borderline personality disorder","Fernando SC, Beblo T, Lamers A, Schlosser N, Woermann FG, Driessen M, Toepper M.","Front Psychiatry. 2023 Jan 10;13:1066218. doi: 10.3389/fpsyt.2022.1066218. eCollection 2022.","Fernando SC","Front Psychiatry","2023","2023/01/27","PMC9871986","","10.3389/fpsyt.2022.1066218"
"36326213","Intracranial human recordings reveal association between neural activity and perceived intensity for the pain of others in the insula","Soyman E, Bruls R, Ioumpa K, Müller-Pinzler L, Gallo S, Qin C, van Straaten ECW, Self MW, Peters JC, Possel JK, Onuki Y, Baayen JC, Idema S, Keysers C, Gazzola V.","Elife. 2022 Nov 3;11:e75197. doi: 10.7554/eLife.75197.","Soyman E","Elife","2022","2022/11/03","PMC9678359","","10.7554/eLife.75197"
"21775952","Brain imaging investigation of the neural correlates of observing virtual social interactions","Sung K, Dolcos S, Flor-Henry S, Zhou C, Gasior C, Argo J, Dolcos F.","J Vis Exp. 2011 Jul 6;(53):e2379. doi: 10.3791/2379.","Sung K","J Vis Exp","2011","2011/07/22","PMC3196171","","10.3791/2379"
"37460223","Exploring the Neural Processes behind Narrative Engagement: An EEG Study","Dini H, Simonetti A, Bruni LE.","eNeuro. 2023 Jul 17;10(7):ENEURO.0484-22.2023. doi: 10.1523/ENEURO.0484-22.2023. Print 2023 Jul.","Dini H","eNeuro","2023","2023/07/17","PMC10353752","","10.1523/ENEURO.0484-22.2023"
