PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"37562718","Arousal modulates the amygdala-insula reciprocal connectivity during naturalistic emotional movie watching","Wang L, Hu X, Ren Y, Lv J, Zhao S, Guo L, Liu T, Han J.","Neuroimage. 2023 Oct 1;279:120316. doi: 10.1016/j.neuroimage.2023.120316. Epub 2023 Aug 9.","Wang L","Neuroimage","2023","2023/08/10","","","10.1016/j.neuroimage.2023.120316"
"37460223","Exploring the Neural Processes behind Narrative Engagement: An EEG Study","Dini H, Simonetti A, Bruni LE.","eNeuro. 2023 Jul 17;10(7):ENEURO.0484-22.2023. doi: 10.1523/ENEURO.0484-22.2023. Print 2023 Jul.","Dini H","eNeuro","2023","2023/07/17","PMC10353752","","10.1523/ENEURO.0484-22.2023"
"37449983","Gaze patterns and brain activations in humans and marmosets in the Frith-Happé theory-of-mind animation task","Dureux A, Zanini A, Selvanayagam J, Menon RS, Everling S.","Elife. 2023 Jul 14;12:e86327. doi: 10.7554/eLife.86327.","Dureux A","Elife","2023","2023/07/14","PMC10435231","","10.7554/eLife.86327"
"37325041","Time-of-day influences resting-state functional cortical connectivity","Iester C, Biggio M, Cutini S, Brigadoi S, Papaxanthis C, Brichetto G, Bove M, Bonzano L.","Front Neurosci. 2023 May 31;17:1192674. doi: 10.3389/fnins.2023.1192674. eCollection 2023.","Iester C","Front Neurosci","2023","2023/06/16","PMC10264597","","10.3389/fnins.2023.1192674"
"37296131","Waves traveling over a map of visual space can ignite short-term predictions of sensory input","Benigno GB, Budzinski RC, Davis ZW, Reynolds JH, Muller L.","Nat Commun. 2023 Jun 9;14(1):3409. doi: 10.1038/s41467-023-39076-2.","Benigno GB","Nat Commun","2023","2023/06/09","PMC10256723","","10.1038/s41467-023-39076-2"
"37217478","Semantic novelty modulates neural responses to visual change across the human brain","Nentwich M, Leszczynski M, Russ BE, Hirsch L, Markowitz N, Sapru K, Schroeder CE, Mehta AD, Bickel S, Parra LC.","Nat Commun. 2023 May 22;14(1):2910. doi: 10.1038/s41467-023-38576-5.","Nentwich M","Nat Commun","2023","2023/05/22","PMC10203305","","10.1038/s41467-023-38576-5"
"37214802","Microscale acoustic metamaterials as conformal sonotransparent skull prostheses","Kim G, Rabut C, Ling B, Shapiro M, Daraio C.","Res Sq. 2023 May 10:rs.3.rs-2743580. doi: 10.21203/rs.3.rs-2743580/v1. Preprint.","Kim G","Res Sq","2023","2023/05/22","PMC10197820","","10.21203/rs.3.rs-2743580/v1"
"37124105","Polymer nanofiber network reinforced gold electrode array for neural activity recording","Yang S, Xu K, Guan S, Zou L, Gao L, Wang J, Tian H, Li H, Fang Y, Li H.","Biomed Eng Lett. 2023 Jan 3;13(2):111-118. doi: 10.1007/s13534-022-00257-5. eCollection 2023 May.","Yang S","Biomed Eng Lett","2023","2023/05/01","PMC10130319","","10.1007/s13534-022-00257-5"
"37061128","Intracranial study in humans: Neural spectral changes during watching comedy movie of Charlie Chaplin","Axelrod V, Rozier C, Sohier E, Lehongre K, Adam C, Lambrecq V, Navarro V, Naccache L.","Neuropsychologia. 2023 Jul 4;185:108558. doi: 10.1016/j.neuropsychologia.2023.108558. Epub 2023 Apr 14.","Axelrod V","Neuropsychologia","2023","2023/04/15","","","10.1016/j.neuropsychologia.2023.108558"
"36720461","High-Performance Implantable Sensors based on Anisotropic Magnetoresistive La(0.67)Sr(0.33)MnO(3) for Biomedical Applications","Vera A, Martínez I, Enger LG, Guillet B, Guerrero R, Diez JM, Rousseau O, Lam Chok Sing M, Pierron V, Perna P, Hernández JJ, Rodríguez I, Calaresu I, Meier A, Huck C, Domínguez-Bajo A, González-Mayorga A, López-Dolado E, Serrano MC, Ballerini L, Pérez L, Miranda R, Flament S, González MT, Méchin L, Camarero J.","ACS Biomater Sci Eng. 2023 Feb 13;9(2):1020-1029. doi: 10.1021/acsbiomaterials.2c01147. Epub 2023 Jan 31.","Vera A","ACS Biomater Sci Eng","2023","2023/01/31","PMC9930082","","10.1021/acsbiomaterials.2c01147"
"36704727","Neural correlates of emotion acceptance and suppression in borderline personality disorder","Fernando SC, Beblo T, Lamers A, Schlosser N, Woermann FG, Driessen M, Toepper M.","Front Psychiatry. 2023 Jan 10;13:1066218. doi: 10.3389/fpsyt.2022.1066218. eCollection 2022.","Fernando SC","Front Psychiatry","2023","2023/01/27","PMC9871986","","10.3389/fpsyt.2022.1066218"
"36699522","Microfluidic cell engineering on high-density microelectrode arrays for assessing structure-function relationships in living neuronal networks","Sato Y, Yamamoto H, Kato H, Tanii T, Sato S, Hirano-Iwata A.","Front Neurosci. 2023 Jan 9;16:943310. doi: 10.3389/fnins.2022.943310. eCollection 2022.","Sato Y","Front Neurosci","2023","2023/01/26","PMC9868575","","10.3389/fnins.2022.943310"
"36556891","Non-Volatile Memory and Synaptic Characteristics of TiN/CeO(x)/Pt RRAM Devices","Ha H, Pyo J, Lee Y, Kim S.","Materials (Basel). 2022 Dec 19;15(24):9087. doi: 10.3390/ma15249087.","Ha H","Materials (Basel)","2022","2022/12/23","PMC9786700","","10.3390/ma15249087"
"36506797","A functional neuroimaging dataset acquired during naturalistic movie watching and narrated recall of a series of short cinematic films","Lee H, Chen J, Hasson U.","Data Brief. 2022 Nov 29;46:108788. doi: 10.1016/j.dib.2022.108788. eCollection 2023 Feb.","Lee H","Data Brief","2022","2022/12/12","PMC9727629","","10.1016/j.dib.2022.108788"
"36326213","Intracranial human recordings reveal association between neural activity and perceived intensity for the pain of others in the insula","Soyman E, Bruls R, Ioumpa K, Müller-Pinzler L, Gallo S, Qin C, van Straaten ECW, Self MW, Peters JC, Possel JK, Onuki Y, Baayen JC, Idema S, Keysers C, Gazzola V.","Elife. 2022 Nov 3;11:e75197. doi: 10.7554/eLife.75197.","Soyman E","Elife","2022","2022/11/03","PMC9678359","","10.7554/eLife.75197"
"36282757","Empathy for others versus for one's child: Associations with mothers' brain activation during a social cognitive task and with their toddlers' functioning","Ojha A, Miller JG, King LS, Davis EG, Humphreys KL, Gotlib IH.","Dev Psychobiol. 2022 Nov;64(7):e22313. doi: 10.1002/dev.22313.","Ojha A","Dev Psychobiol","2022","2022/10/25","PMC9608359","NIHMS1821348","10.1002/dev.22313"
"36161175","Functional near-infrared spectroscopy imaging of the prefrontal cortex during a naturalistic comedy movie","Somech N, Mizrahi T, Caspi Y, Axelrod V.","Front Neurosci. 2022 Sep 8;16:913540. doi: 10.3389/fnins.2022.913540. eCollection 2022.","Somech N","Front Neurosci","2022","2022/09/26","PMC9493198","","10.3389/fnins.2022.913540"
"35993758","In Vivo Wide-Field and Two-Photon Calcium Imaging from a Mouse using a Large Cranial Window","Manita S, Shigetomi E, Bito H, Koizumi S, Kitamura K.","J Vis Exp. 2022 Aug 4;(186). doi: 10.3791/64224.","Manita S","J Vis Exp","2022","2022/08/22","","","10.3791/64224"
"35840823","Classifying oscillatory brain activity associated with Indian Rasas using network metrics","Pandey P, Tripathi R, Miyapuram KP.","Brain Inform. 2022 Jul 15;9(1):15. doi: 10.1186/s40708-022-00163-7.","Pandey P","Brain Inform","2022","2022/07/15","PMC9287523","","10.1186/s40708-022-00163-7"
"35680054","Act natural: Functional connectivity from naturalistic stimuli fMRI outperforms resting-state in predicting brain activity","Gal S, Coldham Y, Tik N, Bernstein-Eliav M, Tavor I.","Neuroimage. 2022 Sep;258:119359. doi: 10.1016/j.neuroimage.2022.119359. Epub 2022 Jun 6.","Gal S","Neuroimage","2022","2022/06/09","","","10.1016/j.neuroimage.2022.119359"
"35663384","Intraoperative microseizure detection using a high-density micro-electrocorticography electrode array","Sun J, Barth K, Qiao S, Chiang CH, Wang C, Rahimpour S, Trumpis M, Duraivel S, Dubey A, Wingel KE, Rachinskiy I, Voinas AE, Ferrentino B, Southwell DG, Haglund MM, Friedman AH, Lad SP, Doyle WK, Solzbacher F, Cogan G, Sinha SR, Devore S, Devinsky O, Friedman D, Pesaran B, Viventi J.","Brain Commun. 2022 May 27;4(3):fcac122. doi: 10.1093/braincomms/fcac122. eCollection 2022.","Sun J","Brain Commun","2022","2022/06/06","PMC9155612","","10.1093/braincomms/fcac122"
"35587881","Enhancement of Thermoplasmonic Neural Modulation Using a Gold Nanorod-Immobilized Polydopamine Film","Jang H, Yoon D, Nam Y.","ACS Appl Mater Interfaces. 2022 Jun 1;14(21):24122-24132. doi: 10.1021/acsami.2c03289. Epub 2022 May 19.","Jang H","ACS Appl Mater Interfaces","2022","2022/05/19","","","10.1021/acsami.2c03289"
"35370581","Infants' Hemodynamic Modulation in the Temporal Region","Tsuji Y, Kanazawa S, Yamaguchi MK.","Front Hum Neurosci. 2022 Mar 10;16:821539. doi: 10.3389/fnhum.2022.821539. eCollection 2022.","Tsuji Y","Front Hum Neurosci","2022","2022/04/04","PMC8965581","","10.3389/fnhum.2022.821539"
"35344336","Cerebrospinal Fluid-philic and Biocompatibility-Enhanced Soft Cranial Window for Long-Term In Vivo Brain Imaging","Kim JU, Park H, Ok J, Lee J, Jung W, Kim J, Kim J, Kim S, Kim YH, Suh M, Kim TI.","ACS Appl Mater Interfaces. 2022 Apr 6;14(13):15035-15046. doi: 10.1021/acsami.2c01929. Epub 2022 Mar 28.","Kim JU","ACS Appl Mater Interfaces","2022","2022/03/28","","","10.1021/acsami.2c01929"
"35332915","The role of eye-specific attention in ocular dominance plasticity","Song F, Lyu L, Zhao J, Bao M.","Cereb Cortex. 2023 Feb 7;33(4):983-996. doi: 10.1093/cercor/bhac116.","Song F","Cereb Cortex","2023","2022/03/25","PMC9930618","","10.1093/cercor/bhac116"
"35244856","Inferring Brain State Dynamics Underlying Naturalistic Stimuli Evoked Emotion Changes With dHA-HMM","Tan C, Liu X, Zhang G.","Neuroinformatics. 2022 Jul;20(3):737-753. doi: 10.1007/s12021-022-09568-5. Epub 2022 Mar 4.","Tan C","Neuroinformatics","2022","2022/03/04","","","10.1007/s12021-022-09568-5"
